Iteration,Cost
0,2.302587100502587
1,2.302546840113723
2,2.3025073326316243
3,2.3024685661412554
4,2.302430513966622
5,2.302393156521745
6,2.302356482230712
7,2.3023204820443213
8,2.302285136883511
9,2.302250434538049
10,2.3022163536418647
11,2.3021828669274362
12,2.3021499573142368
13,2.30211761764575
14,2.3020858309314596
15,2.3020545824405376
16,2.3020238574168252
17,2.3019936386743893
18,2.301963918462028
19,2.301934680656466
20,2.301905912134367
21,2.301877603290763
22,2.301849739088578
23,2.301822304332266
24,2.301795282904892
25,2.3017686636914285
26,2.301742439935936
27,2.3017165914923186
28,2.3016911176260315
29,2.301666008038987
30,2.3016412475288472
31,2.3016168292830685
32,2.3015927427465805
33,2.3015689721650268
34,2.3015455062956414
35,2.3015223313149433
36,2.301499445794788
37,2.3014768391784317
38,2.301454490319343
39,2.301432389740852
40,2.30141053155774
41,2.301388906306784
42,2.3013675064916
43,2.301346323228006
44,2.301325351926546
45,2.3013045910232743
46,2.3012840267067887
47,2.3012636448538584
48,2.301243444179328
49,2.3012234223068266
50,2.3012035663580717
51,2.30118386215013
52,2.301164308721392
53,2.3011448968253476
54,2.301125611040171
55,2.301106445892546
56,2.301087395601919
57,2.3010684513907163
58,2.3010495952060537
59,2.3010308191737043
60,2.3010121188686066
61,2.3009934819506648
62,2.3009748993557237
63,2.3009563617525592
64,2.3009378610959392
65,2.300919390317373
66,2.3009009410032375
67,2.3008825060151867
68,2.3008640735341044
69,2.300845639511292
70,2.3008271972250496
71,2.300808734923949
72,2.3007902487863907
73,2.3007717331546567
74,2.3007531737799507
75,2.3007345673441333
76,2.300715906663329
77,2.300697183420327
78,2.3006783888847773
79,2.3006595150545586
80,2.3006405541787855
81,2.300621498436086
82,2.300602340285198
83,2.300583066071246
84,2.300563665504329
85,2.3005441383958245
86,2.300524477068033
87,2.30050466886689
88,2.300484700363302
89,2.300464565162967
90,2.3004442528368627
91,2.300423755556277
92,2.3004030665130237
93,2.3003821756215292
94,2.3003610755339277
95,2.300339754339097
96,2.3003182004333493
97,2.300296405454949
98,2.3002743618702843
99,2.30025206325044
100,2.300229494354384
101,2.30020664405893
102,2.3001834965303303
103,2.3001600451609447
104,2.3001362757880766
105,2.3001121830068225
106,2.300087756874382
107,2.300062985238469
108,2.300037855894009
109,2.300012356403237
110,2.2999864738305456
111,2.2999601990549383
112,2.299933515741298
113,2.2999064062206154
114,2.2998788599889473
115,2.2998508634941253
116,2.2998224010020043
117,2.299793454850011
118,2.2997640160144845
119,2.2997340736460865
120,2.2997036073166157
121,2.299672600135544
122,2.299641034387183
123,2.2996088860110984
124,2.2995761413981723
125,2.2995427818833014
126,2.299508784941579
127,2.2994741323744656
128,2.2994388035293754
129,2.2994027747008086
130,2.2993660262106013
131,2.2993285374915655
132,2.2992902843134915
133,2.2992512472092965
134,2.299211399552521
135,2.2991707098470435
136,2.2991291559707023
137,2.2990867156570154
138,2.299043359017779
139,2.298999052169758
140,2.2989537665240825
141,2.2989074738158184
142,2.298860133546936
143,2.298811708044348
144,2.298762168216105
145,2.2987114787937526
146,2.2986596034615787
147,2.298606505756545
148,2.2985521401794724
149,2.2984964612452132
150,2.2984394228033915
151,2.298380982658268
152,2.298321092882506
