Iteration,Cost
0,2.302565991865585
1,2.302513528009448
2,2.3024618203790435
3,2.3024108517022213
4,2.302360585724515
5,2.3023110009594254
6,2.302262068433174
7,2.3022137528843127
8,2.30216603899835
9,2.3021188801732975
10,2.3020722587344
11,2.3020261584596637
12,2.301980555554388
13,2.3019354283647004
14,2.3018907706791545
15,2.301846557527416
16,2.3018027648031416
17,2.301759369701897
18,2.301716371498717
19,2.3016737615955973
20,2.301631508688857
21,2.3015895944303524
22,2.3015479954167164
23,2.301506694407909
24,2.3014656774274744
25,2.3014249172766075
26,2.3013843927130546
27,2.301344095460622
28,2.3013039908560238
29,2.3012640594572202
30,2.3012242807345076
31,2.3011846412686325
32,2.3011451240849694
33,2.301105712857652
34,2.301066401456694
35,2.3010271619018527
36,2.3009879689587764
37,2.3009488003228387
38,2.3009096413656596
39,2.3008704775800433
40,2.3008312832110756
41,2.30079203413556
42,2.3007527149060314
43,2.3007133066893246
44,2.3006737924741922
45,2.30063415555421
46,2.3005943781382685
47,2.30055444155653
48,2.300514320711059
49,2.3004739931982527
50,2.3004334376627154
51,2.300392632406424
52,2.3003515672490447
53,2.3003102171207894
54,2.3002685563257206
55,2.3002265624676133
56,2.3001842124750986
57,2.3001414822884323
58,2.3000983487864888
59,2.300054790930861
60,2.300010782642724
61,2.2999663050452153
62,2.299921332210161
63,2.2998758446424348
64,2.299829810082157
65,2.2997832049200615
66,2.2997360055972056
67,2.2996881856503473
68,2.2996397101163377
69,2.2995905503981264
70,2.2995406821642237
71,2.299490071143439
72,2.2994386818815626
73,2.2993864849459973
74,2.2993334432309913
75,2.2992795178765033
76,2.299224669930369
77,2.2991688738525955
78,2.2991120937458143
79,2.2990542928834707
80,2.298995422478032
81,2.2989354562599926
82,2.2988743447761957
83,2.298812045325278
84,2.29874851904822
85,2.2986837136956164
86,2.298617589175137
87,2.298550095015915
88,2.2984811907829465
89,2.2984108243417154
90,2.2983389427610588
91,2.2982654892049332
92,2.298190413615883
93,2.298113650174698
94,2.298035142268295
95,2.297954830268507
96,2.297872646130642
97,2.2977885229752935
98,2.2977023944423576
99,2.2976141724591925
100,2.2975237895590426
101,2.297431170452133
102,2.2973362380178393
103,2.2972389087746796
104,2.2971390869396413
105,2.297036672981609
106,2.296931564069137
107,2.2968236734444725
108,2.2967128979145195
109,2.296599125845223
110,2.2964822326717713
111,2.2963621003090005
112,2.296238602923146
113,2.2961116132865933
114,2.295980988557205
115,2.2958465966883215
116,2.295708292627923
117,2.2955659116911042
118,2.295419289815201
119,2.2952682693542275
120,2.295112647778405
121,2.2949522490034027
122,2.294786860076739
123,2.2946162752849877
124,2.294440287522996
125,2.294258668493598
126,2.294071177475138
127,2.2938775514025656
128,2.2936775278943355
129,2.2934708138558375
130,2.293257139962402
131,2.293036179870518
132,2.292807590323718
133,2.292571052168736
134,2.2923261908400825
135,2.2920726055594582
136,2.291809909096466
137,2.2915376617720558
138,2.2912553950821217
139,2.2909626295422703
140,2.290658851652221
141,2.2903435259194627
142,2.290016074484543
143,2.28967587943539
144,2.289322311255522
145,2.2889546570643153
146,2.288572220474543
147,2.2881742459104757
148,2.28775988580339
149,2.2873282901261596
150,2.286878531821809
151,2.2864096097654634
152,2.285920439000053
153,2.2854098888557677
154,2.284876774580058
155,2.284319788382617
156,2.2837375495626073
157,2.283128557658442
158,2.2824912517950304
159,2.2818239598972627
160,2.2811248723244226
161,2.280392038256847
162,2.279623364732616
163,2.2788166192445587
164,2.277969427302262
165,2.2770792390588266
166,2.2761432946902866
167,2.2751586402825423
168,2.27412215221062
169,2.273030469749374
170,2.2718799320627947
171,2.2706666555403605
172,2.2693865006723666
173,2.268035003490173
174,2.266607365178394
175,2.265098464090157
176,2.2635028723304425
177,2.261814687210548
178,2.2600276449678516
179,2.2581351206616596
180,2.2561299859832586
181,2.2540047007524495
182,2.251751351607712
183,2.2493615828855664
184,2.246826589033258
185,2.244137178634158
186,2.2412838076756105
187,2.2382566648567583
188,2.2350456796172873
189,2.2316405377776896
190,2.2280309186166978
191,2.224206668531265
192,2.2201577884270023
193,2.2158747457464925
194,2.211348627414218
195,2.2065713840268293
196,2.201536132382744
197,2.1962372802413617
198,2.1906708174429816
199,2.1848347048305103
200,2.1787288238566576
201,2.1723550431838707
202,2.165716734779931
203,2.1588190846857827
204,2.1516683321625885
205,2.1442712803887893
206,2.13663593947899
207,2.128768087744746
208,2.1206719209305516
209,2.112348367796314
210,2.1037954035905746
211,2.0950066580398663
212,2.085972977134072
213,2.0766793478465804
214,2.067107807307801
215,2.057236485256534
216,2.0470422711516814
217,2.0364956779833596
218,2.0255638692421076
219,2.014212280805314
220,2.002401248576455
221,1.990090803751347
222,1.9772374452325883
223,1.9637980784985625
224,1.9497294405405932
