Iteration,Cost
0,2.3026568864914347
1,2.302608476824129
2,2.30256083369838
3,2.3025139508257535
4,2.3024678207786464
5,2.3024224459799436
6,2.302377798099683
7,2.3023338546302066
8,2.302290601604171
9,2.3022479986352593
10,2.3022060446737425
11,2.302164709298998
12,2.3021239831424825
13,2.3020838448484793
14,2.3020442720769956
15,2.3020052373523447
16,2.301966729720943
17,2.3019287370994883
18,2.301891230234537
19,2.3018541978713603
20,2.3018176051853327
21,2.3017814386245137
22,2.301745680657099
23,2.3017103166902704
24,2.3016753376359818
25,2.3016407249135633
26,2.301606453552489
27,2.3015725055704945
28,2.3015388761330025
29,2.3015055598646437
30,2.301472535918492
31,2.3014397882224826
32,2.301407301345975
33,2.3013750739176584
34,2.3013430816688834
35,2.301311308436159
36,2.3012797301922743
37,2.301248339246192
38,2.3012171211420602
39,2.301186063366619
40,2.301155141105959
41,2.3011243386548887
42,2.3010936475223165
43,2.3010630470424336
44,2.3010325135004464
45,2.3010020285355366
46,2.3009715845644187
47,2.3009411657031555
48,2.3009107463672893
49,2.300880318527677
50,2.3008498779017783
51,2.3008194001663127
52,2.300788861332728
53,2.3007582545907654
54,2.3007275603392463
55,2.3006967612806593
56,2.300665844183122
57,2.3006347942287815
58,2.300603603415728
59,2.3005722509002675
60,2.300540721022426
61,2.3005090018293193
62,2.300477075423446
63,2.3004449187706304
64,2.300412516842494
65,2.3003798590230202
66,2.300346928689133
67,2.3003137070432187
68,2.300280169932208
69,2.3002462974588154
70,2.300212075082754
71,2.300177484024926
72,2.3001425055173734
73,2.3001071156534483
74,2.3000712934568854
75,2.3000350145856037
76,2.299998270349001
77,2.299961030197778
78,2.299923270064078
79,2.299884968172893
80,2.2998461034950135
81,2.2998066407919824
82,2.2997665612412015
83,2.2997258401739233
84,2.2996844458447985
85,2.2996423487387423
86,2.299599527300287
87,2.2995559506993177
88,2.299511594439196
89,2.2994664267238027
90,2.2994204113302006
91,2.2993735288036414
92,2.299325749431336
93,2.2992770415726778
94,2.2992273835148436
95,2.299176740478937
96,2.2991250841678164
97,2.2990723786418483
98,2.2990185974419237
99,2.2989637048014457
100,2.29890766266663
101,2.2988504369196643
102,2.298791981541502
103,2.298732250107358
104,2.298671208374377
105,2.2986088046692235
106,2.298544983537129
107,2.298479699211267
108,2.2984128957576906
109,2.298344524622169
110,2.2982745341054147
111,2.2982028581693545
112,2.2981294424940444
113,2.298054235933568
114,2.2979771738808767
115,2.2978981840544654
116,2.2978171980722566
117,2.2977341383373378
118,2.2976489295570035
119,2.297561504749043
120,2.2974717797785806
121,2.297379672046642
122,2.2972850872880617
123,2.297187938372036
124,2.2970881303790485
125,2.296985561326778
126,2.29688013337707
127,2.2967717242202927
128,2.2966602189682037
129,2.2965455073750287
130,2.2964274601850816
131,2.2963059420739906
132,2.296180810789836
133,2.2960519205700325
134,2.295919136017818
135,2.2957823032272753
136,2.295641233854112
137,2.2954957669364466
138,2.2953457216377453
139,2.295190909469402
140,2.2950311160403607
141,2.2948661210747594
142,2.294695712601
143,2.2945196519311577
144,2.2943376850296997
145,2.294149551928351
146,2.2939549653138394
147,2.2937536308993236
148,2.29354525415313
149,2.293329506059335
150,2.2931060601991673
151,2.292874548301969
152,2.2926345781192117
153,2.2923857527973786
154,2.292127639733364
155,2.291859777309893
156,2.291581684607308
157,2.291292843580631
158,2.290992720091921
159,2.290680730571437
160,2.2903562574188987
161,2.290018635898727
162,2.2896671765994063
163,2.2893011453011343
164,2.2889197495978446
165,2.2885221492206425
166,2.2881074525913365
167,2.287674692737526
168,2.28722282970815
169,2.2867507620779506
170,2.2862573201050083
171,2.285741248817673
172,2.2852012061276086
173,2.2846357300357836
174,2.284043273409044
175,2.283422167908421
176,2.2827706320672783
177,2.282086738034832
178,2.281368431771499
179,2.280613496989422
180,2.279819529195391
181,2.27898397781506
182,2.2781040986627614
183,2.277176916320111
184,2.2761992028626055
185,2.2751675146565566
186,2.2740781468246927
187,2.272927100424158
188,2.2717100787014157
189,2.2704224320990316
190,2.269059175830874
191,2.267614938028359
192,2.2660838964809007
193,2.264459863045866
194,2.262736187495783
195,2.260905730877152
196,2.2589608511844896
197,2.2568934608061135
198,2.254694890763522
199,2.2523559464927096
200,2.249866953321598
201,2.2472177491577234
202,2.2443976991776107
203,2.241395829017018
204,2.238200820995352
205,2.2348011241089365
206,2.2311851812233967
207,2.2273415622370725
208,2.2232592293786713
209,2.218927717882209
210,2.214337649112621
211,2.209480900616239
212,2.2043511619506995
213,2.1989441724036336
214,2.1932580699764115
215,2.1872939316378153
216,2.1810561013737235
217,2.1745518514588063
218,2.1677919261020886
219,2.160789522353356
220,2.153559814020348
221,2.1461205217676933
222,2.1384887104640073
223,2.130680682633979
224,2.1227123702049284
225,2.114596539268278
226,2.1063443867174856
227,2.0979622419714206
228,2.0894550700707835
229,2.0808238587615726
230,2.0720673398114315
231,2.0631823649880316
232,2.0541622978556036
233,2.04499868788902
234,2.03567993463682
235,2.026194158212005
236,2.016526962363505
237,2.006662379784036
238,1.9965832386554119
239,1.9862732916639831
240,1.9757164697538718
241,1.9648952804455364
242,1.9537911809649906
243,1.942386244232483
244,1.930663938430545
245,1.9186074448392059
246,1.9062004134524275
247,1.8934265595748168
248,1.880270862763171
249,1.8667192587367196
250,1.852756598201796
251,1.8383665971016774
252,1.8235322495565798
253,1.8082358202051663
254,1.7924619684334302
255,1.776198227992671
256,1.759433971700789
257,1.7421650089089886
258,1.7243958372722217
259,1.7061390648316603
260,1.687419044149117
261,1.6682755147076533
262,1.6487625685736698
263,1.6289520941156432
264,1.6089286302188703
265,1.588792904185497
266,1.5686541476928946
267,1.5486298512015637
268,1.5288293558237853
269,1.5093609002498947
270,1.4903195464127665
271,1.4717842175088967
272,1.453815529327439
273,1.4364600107540637
274,1.4197434920612917
275,1.4036789668843206
276,1.3882616964374201
277,1.3734787180551218
278,1.3593079504639078
279,1.3457166082005034
280,1.3326704060267371
281,1.3201296161701022
282,1.3080544557265055
283,1.2964023814938737
284,1.285132789975738
285,1.2742035976086272
286,1.2635740865171567
287,1.2532058638445918
288,1.243059523419693
289,1.2330995842978778
290,1.2232891931488947
291,1.213594924936403
292,1.2039835187205516
293,1.1944230643923526
294,1.1848830568350628
295,1.1753352455311827
296,1.165751184650525
297,1.1561059597449836
298,1.1463750299425588
299,1.136537196959204
300,1.1265723759394608
301,1.1164647928716753
302,1.1062010307994246
303,1.0957741036601873
304,1.0851791988957016
305,1.074419157020735
306,1.0634978214060948
307,1.0524321735513031
308,1.041237245299795
309,1.029943512557373
310,1.0185736323066428
311,1.0071736452377602
312,0.9957677723737339
313,0.9844171156117613
314,0.973136704280631
315,0.9620060629312815
316,0.9510068870619194
317,0.9402614471852676
318,0.9296689858553985
319,0.9194761999352633
320,0.9093819811326419
321,0.9000073653857064
322,0.8906058726793012
323,0.8830281850132444
324,0.875918174963651
325,0.8759386536701611
326,0.8841635893383112
327,0.9291639970275045
328,1.030183930407794
329,1.2359830384221016
330,1.4879863797457942
331,1.478769864660938
332,1.5794932288449652
333,1.0337200380131297
334,0.9710946262651068
335,0.8746199648047065
336,0.8258229144217956
337,0.8153249604794031
338,0.8060678311472939
339,0.7986326828065169
340,0.7913836699147787
341,0.7851824340053681
342,0.7789711441031077
343,0.7737106764019734
344,0.7682909026082517
345,0.7640263280511348
346,0.759436134575914
347,0.756672492872753
348,0.7534013029937635
349,0.7537325389322154
350,0.7533739350504051
351,0.761384491767258
352,0.7678246694953893
353,0.7943787088425024
354,0.8117026199668202
355,0.8658793264823872
356,0.8816867858018608
357,0.9292092506673247
358,0.9205349832904184
359,0.9206465487011626
360,0.8878161114542098
361,0.8561526486489508
362,0.8178480367111471
363,0.790998919912687
364,0.7645019574497527
365,0.7518140203837435
366,0.7359475821733601
367,0.7310909621837491
368,0.7205443120966533
369,0.719635954696986
370,0.7117529103748997
371,0.7135661293302956
372,0.7072094923660168
373,0.7115912312201756
374,0.7061526060659837
375,0.7132173557920833
376,0.7082059779192134
377,0.7178111354503
378,0.7123778585700128
379,0.7235432306729084
380,0.7166022805835802
381,0.727545859147498
382,0.7182653948224021
383,0.7272860712693049
384,0.7158243571434981
385,0.7224449980371598
386,0.7097157521452827
387,0.7144764461371197
388,0.7014956530822232
389,0.7052510668276216
390,0.692625617642133
391,0.696038684061314
392,0.6840457602123379
393,0.687549880067459
394,0.6762266925971598
395,0.6800912758836565
396,0.6693193291311016
397,0.6736870984146146
398,0.663340562953858
