Iteration,Cost
0,2.30266350640995
1,2.3026202688444117
2,2.302577776323692
3,2.302536006281622
4,2.3024949432844184
5,2.302454570075939
6,2.302414879696701
7,2.3023758569841974
8,2.302337492373201
9,2.3022997766835647
10,2.3022626866594704
11,2.3022262060818854
12,2.302190325490939
13,2.3021550316155315
14,2.3021203177402683
15,2.302086157972172
16,2.3020525300159687
17,2.3020194294065655
18,2.3019868272837067
19,2.301954716467845
20,2.3019230784568236
21,2.301891896600147
22,2.3018611765705286
23,2.3018309145310516
24,2.30180108179695
25,2.301771673591438
26,2.3017426899024085
27,2.301714125619369
28,2.3016859670984133
29,2.3016582047609266
30,2.3016308246956005
31,2.3016038159146808
32,2.3015771806182284
33,2.3015509039766213
34,2.301524972199988
35,2.3014993726546042
36,2.301474096507172
37,2.3014491329848275
38,2.3014244717933643
39,2.3014000956574545
40,2.3013759915166583
41,2.301352146891159
42,2.30132854861613
43,2.301305177198893
44,2.301282025613209
45,2.301259081377095
46,2.3012363322411713
47,2.30121376410328
48,2.3011913697597426
49,2.3011691313823044
50,2.301147037306613
51,2.3011250731156783
52,2.3011032346893954
53,2.301081511612623
54,2.3010598885215265
55,2.3010383564434704
56,2.3010169077242355
57,2.300995525311181
58,2.300974198527515
59,2.300952923034383
60,2.3009316826391504
61,2.3009104654754218
62,2.30088926548786
63,2.300868075051974
64,2.30084688520618
65,2.300825682722228
66,2.3008044613137018
67,2.3007832077979335
68,2.3007619103112695
69,2.3007405573422948
70,2.300719139788875
71,2.300697647110625
72,2.3006760687756325
73,2.3006543984527212
74,2.3006326187455097
75,2.3006107238328624
76,2.3005886984080983
77,2.3005665289810855
78,2.300544209637897
79,2.3005217302024605
80,2.300499081436571
81,2.300476253085398
82,2.3004532288757136
83,2.3004300009995506
84,2.300406560117545
85,2.3003828979319385
86,2.300359004456937
87,2.3003348774154198
88,2.3003105038025478
89,2.300285876023404
90,2.3002609803656626
91,2.3002358174880686
92,2.30021037727435
93,2.3001846479675168
94,2.300158618530089
95,2.300132278509605
96,2.300105614832667
97,2.3000786162291607
98,2.3000512694152078
99,2.3000235636224815
100,2.2999954834619816
101,2.2999670191080863
102,2.299938152176494
103,2.2999088694118583
104,2.299879156291861
105,2.2998490031566425
106,2.299818391215807
107,2.2997873017567443
108,2.2997557179164736
109,2.299723617949651
110,2.2996909838156157
111,2.2996577992435285
112,2.299624043723733
113,2.2995896956826396
114,2.299554735647552
115,2.299519152236013
116,2.299482924195701
117,2.2994460309721276
118,2.2994084469228397
119,2.29937014778547
120,2.2993311132934453
121,2.299291318944553
122,2.299250742182062
123,2.2992093550611945
124,2.299167137280923
125,2.299124059537783
126,2.299080099522985
127,2.299035224236877
128,2.298989407802657
129,2.29894262023574
130,2.298894832138289
131,2.298846006909705
132,2.29879611515172
133,2.298745123479135
134,2.298693000256195
135,2.298639708076876
136,2.2985852089697594
137,2.2985294658373694
138,2.298472437811836
139,2.298414074697076
140,2.2983543365267725
141,2.2982931825474506
142,2.2982305726814807
143,2.298166448379119
144,2.298100761717902
145,2.2980334571058707
146,2.297964477018177
147,2.2978937672440596
148,2.29782127078444
149,2.2977469191821003
150,2.297670647832176
151,2.297592388907988
152,2.297512077171962
153,2.2974296338565834
154,2.2973449862808835
155,2.2972580493998898
156,2.2971687394457074
157,2.2970769673150744
158,2.2969826361782646
159,2.2968856542669682
160,2.2967859167968783
161,2.2966833140906275
162,2.2965777398642313
163,2.2964690785348134
164,2.2963572068492
165,2.2962419892062833
166,2.2961232989309153
167,2.2960009897268714
168,2.2958749144654518
169,2.2957449141021855
170,2.295610829671284
171,2.295472480403532
172,2.2953296769834446
173,2.295182234661281
174,2.295029950847014
175,2.294872604447106
176,2.294709976249102
177,2.2945418270486795
178,2.294367914157035
179,2.294187967220567
180,2.294001701881346
181,2.293808811980584
182,2.2936089812818468
183,2.29340188143479
184,2.293187156426597
185,2.2929644181231175
186,2.2927332713567448
187,2.292493286441007
188,2.292244018369233
189,2.291984984500748
190,2.2917156594366905
191,2.2914355009125464
192,2.291143941752554
193,2.290840364767028
194,2.2905241122184576
195,2.2901944903680653
196,2.289850748255825
197,2.2894920976125492
198,2.2891176828749598
199,2.288726579975051
200,2.288317813743222
201,2.287890324395132
202,2.2874429731961934
203,2.2869745787320004
204,2.286483861148787
205,2.285969433734342
206,2.2854298061697165
207,2.284863384341232
208,2.2842684477350637
209,2.2836431312695944
210,2.2829854522324613
211,2.2822932615402816
212,2.2815642635861644
213,2.2807959782284364
214,2.2799856984612803
215,2.2791305181480643
216,2.278227303150856
217,2.277272709222764
218,2.276263103745914
219,2.275194575401017
220,2.274062914953383
221,2.2728635853795485
222,2.2715917166101143
223,2.2702420719539687
224,2.268809012707874
225,2.2672865587142095
226,2.2656682922075526
227,2.2639473776248273
228,2.2621166016526035
229,2.260168285051434
230,2.258094355973435
231,2.255886401099486
232,2.253535680251162
233,2.2510332351532734
234,2.248369956581641
235,2.2455366784620625
236,2.2425244054528055
237,2.2393245054116666
238,2.235928990095561
239,2.232330730201641
240,2.2285239662085585
241,2.2245045331706006
242,2.220270401263376
243,2.2158219477231804
244,2.2111625775103003
245,2.206298960281581
246,2.201241123079564
247,2.196003065660921
248,2.1906015202830185
249,2.185056683158039
250,2.1793902241756604
251,2.1736246275876336
252,2.1677826588368725
253,2.161884343721037
254,2.1559476786757066
255,2.149987638225659
256,2.144017499079345
257,2.1380464321491357
258,2.132082627551355
259,2.1261306853601694
260,2.120193125923822
261,2.1142717873354835
262,2.1083633935334203
263,2.1024656189734183
264,2.096574462066471
265,2.0906806309325248
266,2.0847750364454387
267,2.0788475428046
268,2.072884671782156
269,2.0668723008721996
