Iteration,Cost
0,2.3025901910224857
1,2.3025401797449194
2,2.302490885117915
3,2.302442282949198
4,2.302394361363629
5,2.3023470898712928
6,2.302300464311164
7,2.302254466823665
8,2.3022090675106317
9,2.30216425429618
10,2.3021199863086244
11,2.3020762459334945
12,2.302033001072812
13,2.3019902336376457
14,2.3019479378750103
15,2.3019060933592255
16,2.3018646763458297
17,2.301823667922593
18,2.301783047816176
19,2.301742794755365
20,2.3017028906585457
21,2.3016633337366006
22,2.301624095372203
23,2.301585159468221
24,2.3015464958329246
25,2.3015080798035474
26,2.3014699078105796
27,2.301431962553001
28,2.3013942313583375
29,2.301356703103446
30,2.3013193567016743
31,2.301282172634766
32,2.301245131227841
33,2.301208225327297
34,2.301171430537182
35,2.3011347226228556
36,2.3010980889381134
37,2.301061520659063
38,2.3010249837436403
39,2.3009884714533753
40,2.300951966478639
41,2.3009154504815785
42,2.3008789095187083
43,2.300842326070861
44,2.3008056719521925
45,2.300768921952178
46,2.3007320680802748
47,2.300695093506096
48,2.300657973767363
49,2.300620679796959
50,2.3005831975448734
51,2.3005455112470314
52,2.300507606108222
53,2.3004694575654847
54,2.3004310388597817
55,2.3003923353696676
56,2.30035333350263
57,2.300314007945411
58,2.3002743314416945
59,2.300234277790642
60,2.3001938219886218
61,2.3001529541986656
62,2.3001116536846697
63,2.300069902870616
64,2.300027680019259
65,2.2999849481690737
66,2.2999416860957567
67,2.2998978664041516
68,2.299853464125783
69,2.299808451974553
70,2.2997627987633216
71,2.2997164869466826
72,2.2996694874026145
73,2.299621764514573
74,2.2995732892541167
75,2.299524024253109
76,2.2994739484264293
77,2.2994230292698195
78,2.2993712372355253
79,2.2993185269202114
80,2.299264865304236
81,2.2992102045184057
82,2.299154514177455
83,2.2990977550976512
84,2.2990398846038422
85,2.298980862785019
86,2.2989206431888105
87,2.2988591747066134
88,2.2987964121231768
89,2.298732304195375
90,2.298666807145871
91,2.2985998619499006
92,2.298531408604864
93,2.2984613922709514
94,2.2983897524416257
95,2.2983164240217264
96,2.298241339811157
97,2.298164433257278
98,2.2980856375699266
99,2.2980048857282585
100,2.2979221022278615
101,2.297837205813223
102,2.2977501188103986
103,2.297660759082739
104,2.29756902353128
105,2.297474837761046
106,2.2973781054928883
107,2.2972787250856266
108,2.297176594036116
109,2.297071603111793
110,2.296963632927161
111,2.296852557701215
112,2.296738244917129
113,2.2966205595859184
114,2.2964993591908183
115,2.2963744957674037
116,2.296245811081128
117,2.2961131295806885
118,2.2959762741326837
119,2.29583505721891
120,2.2956892827860997
121,2.2955387424467317
122,2.2953832204441826
123,2.295222484056029
124,2.295056305184169
125,2.2948844062705467
126,2.294706529040537
127,2.294522384437445
128,2.2943316661450357
129,2.294134042425175
130,2.293929183684088
131,2.2937167344247875
132,2.2934963083861626
133,2.293267506355152
134,2.2930299018228903
135,2.2927830341606326
136,2.2925264352916273
137,2.292259589485074
138,2.291981940817874
139,2.29169290009495
140,2.291391856356033
141,2.2910781612469484
142,2.2907511035943227
143,2.2904099132489395
144,2.2900537915215438
145,2.289681867473416
146,2.2892932228194254
147,2.288886861971335
148,2.2884617142603165
149,2.2880166286611647
150,2.2875503723694477
151,2.2870616199055602
152,2.286548972172189
153,2.2860108853926158
154,2.285445713979874
155,2.2848517033205815
156,2.284226967075738
157,2.2835694545070626
158,2.2828769310236785
159,2.282147033819835
160,2.281377228813117
161,2.280564716154115
162,2.2797065132041956
163,2.278799416487341
164,2.2778399233592044
165,2.2768243349058728
166,2.2757486269499836
167,2.274608449985544
168,2.2733991308020993
169,2.2721156736132126
170,2.2707527219926997
171,2.2693045204051057
